index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
85,"Fruit Focus",95026,True,True,"Minigames","","Nintendo Music Top Tracks","d0676458-27b8-4488-aa2c-79b4c019c1b3","https://image-assets.m.nintendo.com/1ad69c28-efd3-4de0-bf2a-a29da2b54d93"
86,"Robot Factory",161921,True,True,"Minigames","","Nintendo Music Top Tracks","77f1847c-d71d-4772-8527-1e0f665bb40b","https://image-assets.m.nintendo.com/cbccf6e3-f595-463a-8baf-0648ce95dae1"
87,"Paddle Pals",139348,True,True,"Minigames","","Nintendo Music Top Tracks","b6f0a2fb-0610-451b-82c7-55047f6ceaaf","https://image-assets.m.nintendo.com/c6a58acf-19d3-4194-8ebb-bd6427ad7c31"
88,"Flashlight Frights",103813,True,True,"Minigames","Spooky!","Nintendo Music Top Tracks","75cc86e3-aa6b-4340-817c-4d637abe3de8","https://image-assets.m.nintendo.com/32c912ee-0331-43b6-8cf0-fa271a9218ee"
89,"Tippy Traverse",69941,True,True,"Minigames","","Nintendo Music Top Tracks","685be609-d68d-4ea5-b395-3c154f16a475","https://image-assets.m.nintendo.com/b15aa8f3-9a53-497c-890e-066ea414b348"
90,"Fishin' Buddies",79092,True,True,"Minigames","Summer","Nintendo Music Top Tracks","e88647a5-2872-48ad-810c-0c7aaf610b0c","https://image-assets.m.nintendo.com/db3d2400-7d82-4e40-9cce-0f24267cef23"
91,"Pop Coaster",82690,True,True,"Minigames","","Nintendo Music Top Tracks","eb3876c9-d646-41e3-8867-0602e533733e","https://image-assets.m.nintendo.com/2cf12f88-fc59-4658-a263-1603b0dcdf40"
92,"Pump Cart Panic",69184,True,True,"Minigames","","Nintendo Music Top Tracks","c9a16256-db59-4496-b090-a7111f798d25","https://image-assets.m.nintendo.com/821aa129-d508-4234-b28a-2ddb1f6f9b80"
93,"Bobsled Highway",136350,True,True,"Minigames","Winter","Nintendo Music Top Tracks","2d1219e1-0a39-4884-9ffe-eae619df2269","https://image-assets.m.nintendo.com/94a4cb37-838b-4fa6-9b82-e049f6941608"
94,"Jump Rope Jam",122675,True,True,"Minigames","","Nintendo Music Top Tracks","7a0a8d2b-9d07-4619-80b8-787272fbbd7e","https://image-assets.m.nintendo.com/47a5e909-7aa5-4adb-ad36-4f316c6559a5"
95,"Teamwork Temple",69183,True,True,"Minigames","","Nintendo Music Top Tracks","3f6a2249-c384-452b-8efc-328dd3727678","https://image-assets.m.nintendo.com/2adb2e71-64cb-42aa-b951-a7aa8e593bc2"
96,"Garden Gridlock (Stage Select)",31646,True,True,"Minigames","","Nintendo Music Top Tracks","a1aaa212-d7c1-47da-83ab-50fab4f0b39b","https://image-assets.m.nintendo.com/4c03f68a-8812-4e74-b732-29084d44a94a"
97,"Garden Gridlock",177947,True,True,"Minigames","","Nintendo Music Top Tracks","4e2b46fa-1889-4b33-83f3-ddc9dab20ce1","https://image-assets.m.nintendo.com/c9b58e33-acb8-4b7a-9c65-1b41ecd4ef8d"
98,"About Face",109571,True,True,"Minigames","","Nintendo Music Top Tracks","c96cc562-c7e3-434f-a769-56b7b2403da1","https://image-assets.m.nintendo.com/0ecb11b6-3d30-4257-992e-1c5cd2aa60a5"
99,"Two-Person Pair (Success)",4768,False,True,"Minigames","","Nintendo Music Top Tracks","e7a84119-f639-4ab6-8343-fdf5f533c1f4","https://image-assets.m.nintendo.com/60288d4f-2fe5-44a5-bd2b-72acdd912c46"
100,"Two-Person Pair (Failure)",6474,False,True,"Minigames","","Nintendo Music Top Tracks","eed0308b-9aa0-40cd-a014-65e2e5343388","https://image-assets.m.nintendo.com/b742ddb2-cb8d-4efb-97f2-4ed0417cfa57"
101,"Battle",173731,True,True,"Minigames","","Nintendo Music Top Tracks","9b733ab9-30d7-41e0-9b7e-9872237a3cda","https://image-assets.m.nintendo.com/44453552-3730-4f33-96cc-117087704c35"
102,"Solo",127358,True,True,"Minigames","","Nintendo Music Top Tracks","66cf7527-96ef-4316-a7b2-7ffc1ef74692","https://image-assets.m.nintendo.com/46dac29f-8599-4ca1-94c9-b2ee6ee82c6c"
103,"Spot the Sneak",196425,True,True,"Minigames","","Nintendo Music Top Tracks","f67e1c29-6d3e-4060-b737-27ff9bee3daf","https://image-assets.m.nintendo.com/2d48458e-5553-4ccf-90c1-11c7c7dfe9fa"
104,"Minigame: Results Announcement",9300,False,True,"Minigames","Victory!","Nintendo Music Top Tracks","3376af06-9151-42a4-a058-348aca0b193b","https://image-assets.m.nintendo.com/6d4001dc-9a9e-45fc-8394-c88a630ece11"
105,"Rankings",70800,True,True,"","","Nintendo Music Top Tracks","5af848cc-de35-4813-979c-82a44ad3e693","https://image-assets.m.nintendo.com/257888d9-095b-48fa-8da5-5f797898602e"
