index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Game Freak Logo",11560,False,True,"","","Nintendo Music Top Tracks","d8b33a5d-3692-4115-9e39-bd2c766da136","https://image-assets.m.nintendo.com/fa968025-0339-4a22-b7dc-30fbb294056f"
2,"Opening Movie",16186,False,True,"","","Nintendo Music Top Tracks","4da74b83-2e71-440b-930b-991d58d29c67","https://image-assets.m.nintendo.com/96808a3e-3b34-4543-b661-b3d20c3d6ed1"
3,"Title Screen",96826,False,True,"","Powering Up|Title Themes","Nintendo Music Selects|Nintendo Music Top Tracks","d53e438b-24bd-4f35-9022-4b6040a3fa77","https://image-assets.m.nintendo.com/517087b2-f9ca-42f2-8857-7e1d472b5258"
4,"Game Tutorial",42693,False,False,"","","","2bb91eb9-b53e-4cdb-bbc6-c6ff5e5a5fa3","https://image-assets.m.nintendo.com/357464da-52d7-479d-80aa-56264a7cacb9"
5,"Welcome to the World of Pokémon!",65093,False,True,"Professor Oak","","Nintendo Music Top Tracks","8a83b339-bcda-4ac7-8436-37c1888a96d2","https://image-assets.m.nintendo.com/51376a31-0e0a-4d3c-9b06-bbaaa9e1c69d"
6,"Pallet Town Theme",94533,False,True,"Blue|Field|Professor Oak","Break Time","Nintendo Music Selects|Nintendo Music Top Tracks","ab349d9f-a6ab-4557-958c-7f240bf63fc9","https://image-assets.m.nintendo.com/2a84f0ab-90e1-4c0c-89c6-257b1d24711b"
7,"Professor Oak",48320,False,True,"Professor Oak","","Nintendo Music Top Tracks","c0706c6e-ad7f-44cb-b9f7-969b87f00f5f","https://image-assets.m.nintendo.com/06d42d13-d85f-46dd-a8b7-f17a300e4d09"
8,"Professor Oak's Laboratory",48133,False,True,"Blue|Professor Oak","","Nintendo Music Top Tracks","6be54c66-7b07-4748-b00d-82aa945dbc1d","https://image-assets.m.nintendo.com/37c97fa3-f349-4f13-8704-258cfdcb86c7"
9,"A Rival Appears",48293,False,True,"Blue","","Nintendo Music Top Tracks","1a9d9902-6565-4645-a923-65aa2acbff85","https://image-assets.m.nintendo.com/5371da50-dc43-46fc-b80f-963b2c41bbf1"
10,"Battle! (Trainer Battle)",193000,False,True,"Blue|Pokémon Battles","Powering Up","Nintendo Music Selects|Nintendo Music Top Tracks","5491ac98-6cba-4fa8-b810-8b4f80b9f37c","https://image-assets.m.nintendo.com/5f0e5b2f-79e3-4062-ab7a-83f5147d6ef2"
11,"Victory! (Trainer Battle)",42186,False,False,"Blue","Victory!","","d900dd3d-6ad3-465f-9dd4-d77e6a75beee","https://image-assets.m.nintendo.com/51e2543f-5c7b-4408-8629-86c107d0cd45"
12,"Road to Viridian City: Leaving Pallet Town",55960,False,True,"Field","New Adventures","Nintendo Music Top Tracks","6bfc9e53-b2df-4430-bf50-f87152b9ba05","https://image-assets.m.nintendo.com/2b03d449-f6c7-45fe-842b-ccae1802ee38"
13,"Pewter City Theme",126933,False,True,"Field","Walking","Nintendo Music Top Tracks","bcebf2d2-cd30-43a5-bd0d-36fe79a71a1f","https://image-assets.m.nintendo.com/223fb913-c538-4d16-ba32-2390bdea409b"
14,"Teachy TV Menu",17586,False,False,"","","","3f3fc611-0025-4833-9204-ef9e14cca12e","https://image-assets.m.nintendo.com/975109b3-16f0-436a-97ca-23304b580910"
15,"Viridian Forest",166066,False,True,"Field","","Nintendo Music Top Tracks","b8e99165-f3a0-41bd-b4c3-b3c04c665853","https://image-assets.m.nintendo.com/da5ced80-6f05-4a8f-b272-24fb1c1238a9"
16,"Battle! (Wild Pokémon)",92053,False,True,"Pokémon Battles","","Nintendo Music Top Tracks","ec3c509c-6b60-4e35-bfda-0df66b8f808e","https://image-assets.m.nintendo.com/762f8966-4163-4154-a272-dc86ce5f71cd"
17,"Victory! (Wild Pokémon)",37133,False,False,"","Victory!","","acbc7e33-2af8-499b-b1d8-94e7526e7ffd","https://image-assets.m.nintendo.com/30a5443e-88b2-4443-a45a-e4aa718c3e74"
18,"A Trainer Appears (Boy Version)",30653,False,False,"","","","bb7c5eb9-6d79-446f-9ba1-96bc57629ec9","https://image-assets.m.nintendo.com/fbe2edc3-a6c5-491f-ae7f-86a80f1efef8"
19,"Pokémon Center",73333,False,True,"","Break Time","Nintendo Music Top Tracks","29266834-c835-49b5-80b0-eef893ecc746","https://image-assets.m.nintendo.com/d1e26fc4-5dbf-4d59-bc60-0d70c72d280d"
20,"Jigglypuff's Song",11493,False,False,"","","","22e3d2a5-23c2-4ab5-8d7f-114f24ac8fb7","https://image-assets.m.nintendo.com/3ae0058b-866e-4641-b191-aff131ef7ac4"
21,"Pokémon Healed",7253,False,True,"","","Nintendo Music Top Tracks","1268aa34-3274-46b5-b243-868c9b5ee5d3","https://image-assets.m.nintendo.com/9a5895ec-274e-4772-ae3d-7c6f7d95b029"
22,"Guide",33800,False,False,"","","","0fc58c8c-5343-43c4-8028-5d9e8cbb75c3","https://image-assets.m.nintendo.com/5edfe156-757c-49d1-82c2-8f3c74afb2c1"
23,"Pokémon Gym",75493,False,True,"","Walking","Nintendo Music Top Tracks","77240389-2318-4d29-80e6-9ccd42dd9c54","https://image-assets.m.nintendo.com/dee8a9b9-f33b-4753-a5e5-061a4d4b2f35"
24,"Tense Battle!",28093,False,False,"","","","6865b35c-b035-4d69-a415-040a4de22def","https://image-assets.m.nintendo.com/f99f1ac7-040b-4725-b2a8-8167c21e53f6"
25,"Battle! (Gym Leader Battle)",125853,False,True,"Pokémon Battles","Boss Battles|Powering Up","Nintendo Music Top Tracks","1537620c-80a7-4e71-9cfe-c97d97ef7a31","https://image-assets.m.nintendo.com/e1746dcc-6af2-4002-a4d2-03198b5c8c80"
26,"Victory! (Gym Leader Battle)",61000,False,False,"","Victory!","","201bd1ae-cbe3-4ab7-ad25-2588cbe61666","https://image-assets.m.nintendo.com/d044db75-3dab-405f-b068-8bef6e371b15"
