index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"メインテーマ～タイトル～",131086,True,True,"","タイトル画面","Nintendo Musicセレクション|Nintendo Musicピックアップ集","1fcc38bf-f70d-4068-a2f1-0b29d039f523","https://image-assets.m.nintendo.com/2b0c8095-5692-46b9-bcf6-a0d69fa103ef"
2,"冒険の再開",188422,True,True,"","","Nintendo Musicピックアップ集","ea5c3cea-d1ad-4005-a7f3-8fc05596c442","https://image-assets.m.nintendo.com/56d0da14-c7bc-4901-8ae3-1f9940aa9983"
3,"パスワード入力",128372,True,False,"","","","7cf35c15-f476-4b72-a909-c9b712b6adbc","https://image-assets.m.nintendo.com/c88fd1e0-3114-4a8c-bf0e-d6b0de8c56ce"
4,"前作のあらすじ",397456,True,True,"","","Nintendo Musicピックアップ集","252d435b-0b15-41d3-bd0f-04915b756c62","https://image-assets.m.nintendo.com/1879137e-fae2-49d9-a84b-2a3b6b076f7b"
5,"ヴィーナス灯台",180110,True,True,"ダンジョン","","Nintendo Musicピックアップ集","eaa1e7cf-d936-4985-b49e-ae5af1b8d778","https://image-assets.m.nintendo.com/a029f02e-f7c6-4021-a533-0437c3929144"
6,"ヴィーナス灯台入口",162471,True,False,"ダンジョン","","","e01b15d9-9600-49be-964f-179f4fd2245b","https://image-assets.m.nintendo.com/1a9df303-e658-4e6d-b3c5-30d89186ea0f"
7,"戦闘～ジャスミン～",99279,True,True,"戦闘","","Nintendo Musicピックアップ集","1cf228f1-4dfe-4f86-9301-97aaf51b549a","https://image-assets.m.nintendo.com/c01a5049-833c-4df9-b9da-d7eb2af03093"
8,"スハーラ先の通行ゲート",197598,True,False,"ダンジョン","","","44e66c9b-de86-49f0-af96-9f07ec4821e3","https://image-assets.m.nintendo.com/ad0384f1-2ff6-4f2d-ae10-2e8eb5275700"
9,"出島",187094,True,True,"","","Nintendo Musicピックアップ集","f760d61f-8432-4e9c-bd07-5d137ae75181","https://image-assets.m.nintendo.com/0e441f29-7ee0-4ded-aa27-8318c39dd6fb"
10,"危機",102369,True,True,"","","Nintendo Musicピックアップ集","0f186898-c6ef-41e1-88f6-fe67d1f71bb1","https://image-assets.m.nintendo.com/c0b616bb-b5f5-46ee-9f31-b08b6e9bb0fe"
11,"新たなる物語",11688,False,True,"","","Nintendo Musicピックアップ集","1fc95880-6fc6-43bf-b5ef-a8749a7d9b03","https://image-assets.m.nintendo.com/08aa9dcf-f448-49a2-9636-a43d604913d6"
12,"迫り来る大波",124189,True,False,"","","","fa637ed7-ad8a-459f-a779-83fac1379c40","https://image-assets.m.nintendo.com/d63aed9f-9a72-41bd-85e0-474346fcab18"
13,"世界を巡る旅",135129,True,True,"","ウォーキング|冒険のはじまり","Nintendo Musicセレクション|Nintendo Musicピックアップ集","d596f6f5-ad7b-4000-bd75-22e72e879ebe","https://image-assets.m.nintendo.com/dddb6071-b3a8-4f20-a6d6-9b31aa454387"
14,"デリィ村",115088,True,True,"人々の暮らし","","Nintendo Musicピックアップ集","20458066-22c3-4785-9b38-3aa1b4dcd01e","https://image-assets.m.nintendo.com/869b65b5-4761-4a1c-9a15-e864c8e8ba55"
15,"ジンの使いかた",101083,True,True,"","","Nintendo Musicピックアップ集","a0b48a6c-077a-424d-9078-58047a330206","https://image-assets.m.nintendo.com/ead26b10-dc16-46e8-8ee5-ec14402e276a"
16,"新たな仲間",4176,False,False,"","","","52d0fd96-b179-455a-82e2-7bd674b468f5","https://image-assets.m.nintendo.com/75e02c71-252b-435b-af75-e41f4af1ead0"
17,"戦闘～失われし時代～",117096,True,True,"戦闘","","Nintendo Musicセレクション|Nintendo Musicピックアップ集","4d5c8029-3873-4cc9-acd0-f1a36470b3be","https://image-assets.m.nintendo.com/929eb45c-84e1-4f09-9d2c-05eca71aab03"
18,"勝利！",74267,True,False,"","","","e2ef6fa3-da6e-45c8-8058-c01ee103ae37","https://image-assets.m.nintendo.com/0b9f40ca-da13-4500-8726-ed24112f14ea"
19,"レベルアップ！",2675,False,False,"","","","f2d58960-9edf-48f6-8865-123d9970ca0a","https://image-assets.m.nintendo.com/f0ecf343-36db-4740-b2a5-4135a276cedb"
20,"カンドラ寺の洞窟",107085,True,True,"ダンジョン","","Nintendo Musicピックアップ集","e5de364a-e87c-40d5-881e-0b37380e62a1","https://image-assets.m.nintendo.com/cc326dfd-8273-4714-b9d7-0f8db44ee352"
21,"洞穴のテーマ",105115,True,True,"ダンジョン","","Nintendo Musicピックアップ集","0df9c837-0d7f-4dd0-8393-faebf1f5496d","https://image-assets.m.nintendo.com/026ecc2b-6eb7-4e5e-a610-a46687c76430"
22,"デカン高原",169824,True,True,"ダンジョン","","Nintendo Musicピックアップ集","b996606b-6587-46c6-9396-f5bd837795fe","https://image-assets.m.nintendo.com/e305584f-8627-4061-b1c6-78c4dfa8bcfd"
23,"マドラの町",139536,True,True,"人々の暮らし","ほっとひと息","Nintendo Musicピックアップ集","ba07b3af-c694-4e3a-a2da-95011637de28","https://image-assets.m.nintendo.com/53b63d05-b8d2-45fb-adb2-1827089a13a6"
24,"マドラの地下遺跡",137268,True,True,"ダンジョン","","Nintendo Musicピックアップ集","e836ebfb-3ae1-4fb9-93f2-8bebfc5d6850","https://image-assets.m.nintendo.com/c029e6db-09f7-41c4-923e-03d0c84a0fdc"
25,"宿屋で一泊",6211,False,False,"","","","1729dfa2-adce-4fe6-9f4b-6fe082b41fc8","https://image-assets.m.nintendo.com/f2cd7107-fcc3-4a3f-bc06-ccdb80855dd8"
26,"ヤンピ砂漠",183750,True,True,"ダンジョン","","Nintendo Musicピックアップ集","b8621cbe-2384-41b3-86ec-f5f11d56c3f1","https://image-assets.m.nintendo.com/3737c513-a28c-4c9a-86c5-96e9e79e4782"
27,"強敵との戦い",112580,True,True,"戦闘","強敵たち","Nintendo Musicピックアップ集","4d359891-6d73-48d2-9e38-470aafd73680","https://image-assets.m.nintendo.com/c4485111-21af-46ca-808a-55904ba836f4"
28,"ポピーチー村",140086,True,True,"人々の暮らし","","Nintendo Musicピックアップ集","a8cd954e-e1ec-4f2d-a7dd-22d89f81dc3d","https://image-assets.m.nintendo.com/5eccdc5f-7077-4954-82c7-4d82d82b80f6"
