index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"ひらかれたコネクタルロード",153212,False,True,"","","Nintendo Musicピックアップ集","0500dddf-547b-460f-bf62-cc28b1c5acae","https://image-assets.m.nintendo.com/bc1f1433-fd33-4469-b41a-c029ff96ff29"
2,"ブラザーシップ！",45317,False,True,"","タイトル画面","Nintendo Musicピックアップ集","2f5dadf6-a610-4faf-be09-6962855ccfe4","https://image-assets.m.nintendo.com/399cd8b2-7da5-4f24-9740-3e72f31c2812"
3,"めざめ",58042,False,True,"","","Nintendo Musicピックアップ集","c7284265-d2db-4a28-8530-e47e9fa5c247","https://image-assets.m.nintendo.com/d028540e-4912-4f7f-a595-979463eb9d56"
4,"ルイージの声に導かれて",53911,False,True,"","","Nintendo Musicピックアップ集","b893df92-d4f3-4471-adcb-117cdd7e8fd7","https://image-assets.m.nintendo.com/575fc8b5-17a1-46ab-b8f6-cbf86d884201"
5,"コネッタと船島",193965,True,True,"コネクタルランド|コネクタルランドの仲間たち|コネッタ|タップー","","Nintendo Musicセレクション|Nintendo Musicピックアップ集|Nintendo Switchセレクション|マリオセレクション","6572b7e5-d8ea-4c91-ba44-809595819cec","https://image-assets.m.nintendo.com/5d07b1ca-4e4e-4245-b6fd-bcc7a1d27ff0"
6,"漂流島発見！",6082,False,True,"","","Nintendo Musicピックアップ集","953d3712-7f51-4869-abc1-01be4dcdad35","https://image-assets.m.nintendo.com/67cbb7f3-3620-4833-a3d3-a8f7e42703dc"
7,"とべ！マリオ！ルイージ！",8762,False,False,"","","","13ad064a-72ba-4ce6-90ac-7264695faa2c","https://image-assets.m.nintendo.com/06f89f65-a650-4e66-820d-fd8921bfd989"
8,"今回の着地は！？",8027,False,False,"","","","ac1e40d9-8520-4caf-b15c-b5ff4503522c","https://image-assets.m.nintendo.com/87f1bac1-1a89-47f7-aec4-c3a77caf12b0"
9,"グラングラン島の灯台",251362,True,True,"コネクタルランド","ウォーキング|冒険のはじまり","Nintendo Musicピックアップ集","3618b6fc-8e25-460d-ae42-b53aeb5b2ccc","https://image-assets.m.nintendo.com/c6e4d1a3-9a28-40d7-a7da-a020bcd16aa1"
10,"結末やいかに！？",146318,True,False,"","","","6edfcebb-115d-47e7-9fcc-cf8a36873f7e","https://image-assets.m.nintendo.com/6c7c4b30-b5a0-43c6-a683-b0c1f39940e9"
11,"コンビネーション アタック！",115374,True,True,"バトル","ランニング|元気を出して","Nintendo Musicセレクション|Nintendo Musicピックアップ集|Nintendo Switchセレクション|マリオセレクション","0e65efc3-cd5a-49ca-83ae-e50b7e12a600","https://image-assets.m.nintendo.com/735784f2-c432-4dbc-ace3-42661fc0b8cc"
12,"勝利のお立ち台！",43889,True,True,"","Win!","Nintendo Musicピックアップ集","4d50af63-b636-4f90-b70e-be829c468665","https://image-assets.m.nintendo.com/74f3971e-0074-42d4-a712-8e77956c342f"
13,"わっくわくなできごと",199734,True,False,"","","","c8c81ee8-29bb-46ba-8bb9-365061267273","https://image-assets.m.nintendo.com/7ee882c8-7d36-4659-9074-e350f3dc8bc4"
14,"ルイージセンス",11693,False,True,"ルイージ","","Nintendo Musicピックアップ集","7039aa27-7533-4728-9b9b-79470cde0fcf","https://image-assets.m.nintendo.com/6310f873-348b-421a-855a-3be46ff636bb"
15,"まさかのグラグラディッシュ",47535,False,True,"","","Nintendo Musicピックアップ集","c2f090bd-3ec2-4b73-9c6d-8157112ff935","https://image-assets.m.nintendo.com/b4a05432-1a1c-4089-9605-b54b7fefe22a"
16,"はじめての島つなぎ",59502,False,True,"コネクタルランドの仲間たち|タップー","","Nintendo Musicピックアップ集","dd5ceae3-bb63-4575-a789-f5d4b33045f5","https://image-assets.m.nintendo.com/66f22084-0560-48f5-927f-51d75f9a1526"
17,"じめじめレスキューのジャン・グール島",215116,True,True,"コネクタルランド","","Nintendo Musicピックアップ集","6a97a066-c8c0-4b87-852e-c8ca7669c42c","https://image-assets.m.nintendo.com/d1b00c26-d2b1-4321-b674-3ee4b030c9b3"
18,"ツイス島ツイスト",217227,True,True,"コネクタルランド|ディオード・エミット","元気を出して","Nintendo Musicピックアップ集","024032fa-45bd-4038-9be4-6eeffddd950d","https://image-assets.m.nintendo.com/fd522d55-3251-406a-a548-d6a7ab9ff227"
19,"ふっかつのディオードステップ",17704,False,False,"コネクタルランドの仲間たち|ディオード・エミット","","","4288a27b-8586-4403-81f4-78e25f14111b","https://image-assets.m.nintendo.com/6079291f-cc3a-4505-b05c-30882fe64a8a"
20,"ニョキニョキステップ",11652,False,True,"コネクタルランドの仲間たち|ディオード・エミット","","Nintendo Musicピックアップ集","4be69d12-1fd0-488a-8ff5-b4d383b250c2","https://image-assets.m.nintendo.com/b5b0de33-ed3b-477a-8c86-7444358e32ea"
21,"島つなぎでみんなをつなごう",46293,False,False,"コネクタルランドの仲間たち","","Nintendo Musicセレクション|Nintendo Switchセレクション|マリオセレクション","6d81692f-46ee-4ae4-a166-9f83c6a96db8","https://image-assets.m.nintendo.com/bbdc6a08-67e4-4f9c-8990-326bc1c1da8d"
22,"つなげた島へいこう！",114378,True,True,"","","Nintendo Musicピックアップ集","78bc0d86-3dc7-48c4-bcd6-231df163dbf1","https://image-assets.m.nintendo.com/3977cebb-abfe-4544-92ae-2abbb5989333"
23,"協力か競争か！？",141591,True,False,"","","","4fdff432-8b51-4456-91f2-6fcb46ed4a35","https://image-assets.m.nintendo.com/11ff5d78-2e33-4f6c-9f8d-564497663b21"
24,"変わり果てた島",278171,True,True,"","","Nintendo Musicピックアップ集","6f54a1dd-a768-4490-8e21-181b417ac762","https://image-assets.m.nintendo.com/91175d79-4bd0-4ee9-94c2-d8e491b165c1"
25,"立ちはだかる脅威",129301,True,False,"","","","a2b81358-95f1-44be-a062-f2bda8505e38","https://image-assets.m.nintendo.com/1a9da1df-d70d-4655-b629-649f676fa887"
